iter	Passed	Remaining
413	3262	4618
414	3268	4607
415	3275	4598
416	3280	4587
417	3286	4575
418	3293	4567
419	3300	4557
420	3306	4547
421	3312	4537
422	3319	4527
423	3328	4521
424	3334	4511
425	3342	4503
426	3348	4493
427	3356	4485
428	3362	4475
429	3368	4465
430	3374	4455
431	3381	4445
432	3388	4436
433	3394	4426
434	3404	4421
435	3411	4413
436	3418	4403
437	3425	4395
438	3431	4385
439	3444	4384
440	3450	4374
441	3458	4365
442	3464	4355
443	3470	4345
444	3476	4335
445	3482	4325
446	3492	4320
447	3497	4309
448	3505	4301
449	3510	4290
450	3516	4280
451	3556	4311
452	3564	4304
453	3573	4297
454	3581	4289
455	3590	4283
456	3602	4280
457	3609	4271
458	3617	4263
459	3623	4253
460	3630	4245
461	3637	4236
462	3643	4225
463	3651	4217
464	3658	4209
465	3665	4200
466	3673	4192
467	3680	4183
468	3690	4178
469	3699	4171
470	3709	4166
471	3720	4162
472	3728	4154
473	3736	4146
474	3742	4136
475	3751	4129
476	3757	4120
477	3765	4112
478	3774	4104
479	3784	4099
480	3791	4090
481	3801	4084
482	3809	4077
483	3815	4067
484	3822	4058
485	3843	4065
486	3850	4056
487	3858	4047
488	3864	4038
489	3871	4029
490	3880	4022
491	3887	4013
492	3896	4006
493	3908	4003
494	3918	3997
495	3926	3989
496	3933	3980
497	3942	3974
498	3950	3965
499	3957	3957
500	3964	3948
501	3971	3939
502	3979	3931
503	3986	3922
504	3994	3915
505	4001	3906
506	4008	3898
507	4015	3888
508	4023	3880
509	4029	3871
510	4057	3882
511	4063	3872
512	4072	3865
513	4079	3857
514	4088	3850
515	4095	3841
516	4102	3833
517	4109	3823
518	4116	3815
519	4125	3807
520	4134	3800
521	4141	3792
522	4164	3798
523	4172	3790
524	4181	3783
525	4188	3774
526	4198	3768
527	4205	3759
528	4213	3751
529	4219	3741
530	4228	3734
531	4235	3725
532	4242	3717
533	4249	3708
534	4256	3699
535	4264	3691
536	4270	3682
537	4277	3673
538	4284	3664
539	4291	3655
540	4299	3647
541	4305	3638
542	4313	3630
543	4321	3622
544	4330	3615
545	4337	3606
546	4345	3598
547	4351	3588
548	4358	3580
549	4364	3571
550	4370	3561
551	4379	3554
552	4385	3545
553	4394	3538
554	4400	3528
555	4407	3520
556	4414	3510
557	4420	3501
558	4429	3494
559	4435	3484
560	4456	3487
561	4462	3477
562	4466	3467
563	4471	3456
564	4475	3445
565	4480	3435
566	4484	3424
567	4489	3414
568	4494	3404
569	4498	3393
570	4504	3383
571	4508	3373
572	4512	3362
573	4516	3352
574	4521	3342
575	4525	3331
576	4529	3320
577	4534	3310
578	4538	3300
579	4544	3290
580	4549	3281
581	4560	3275
582	4566	3266
583	4573	3257
584	4579	3248
585	4587	3240
586	4594	3232
587	4601	3224
588	4608	3215
589	4613	3206
590	4623	3199
591	4629	3190
592	4636	3182
593	4642	3172
594	4649	3164
595	4655	3155
596	4661	3147
597	4668	3138
598	4674	3129
599	4683	3122
600	4689	3113
601	4695	3104
602	4719	3106
603	4727	3099
604	4735	3091
605	4743	3083
606	4753	3077
607	4760	3069
608	4769	3062
609	4777	3054
610	4783	3045
611	4790	3037
612	4799	3029
613	4805	3021
614	4813	3013
615	4819	3004
616	4826	2996
617	4833	2987
618	4839	2979
619	4848	2971
620	4855	2963
621	4862	2955
622	4885	2956
623	4895	2949
624	4902	2941
625	4911	2934
626	4918	2926
627	4925	2917
628	4934	2910
629	4945	2904
630	4951	2895
631	4959	2888
632	4966	2879
633	4975	2872
634	4981	2863
635	4988	2855
636	4994	2846
637	4999	2836
638	5009	2829
639	5015	2821
640	5021	2812
641	5027	2803
642	5034	2795
643	5042	2787
644	5049	2779
645	5056	2770
646	5063	2762
647	5071	2755
648	5078	2746
649	5087	2739
650	5096	2732
651	5105	2724
652	5112	2716
653	5119	2708
654	5125	2699
655	5131	2690
656	5138	2682
657	5144	2673
658	5150	2665
659	5157	2656
660	5162	2647
661	5170	2639
662	5177	2631
663	5185	2624
664	5193	2616
665	5202	2609
666	5209	2600
667	5217	2592
668	5223	2584
669	5232	2577
670	5239	2568
671	5246	2560
672	5252	2552
673	5259	2543
674	5269	2536
675	5276	2529
676	5317	2537
677	5327	2530
678	5336	2523
679	5347	2516
680	5356	2509
681	5366	2502
682	5375	2495
683	5384	2487
684	5393	2480
685	5400	2472
686	5408	2464
687	5414	2455
688	5421	2447
689	5430	2439
690	5438	2432
691	5449	2425
692	5456	2417
693	5465	2409
694	5471	2401
695	5479	2393
696	5484	2384
697	5492	2376
698	5498	2367
699	5504	2358
700	5511	2350
701	5517	2342
702	5525	2334
703	5531	2325
704	5538	2317
705	5545	2309
706	5551	2300
707	5558	2292
708	5564	2283
709	5572	2276
710	5578	2267
711	5584	2258
712	5592	2250
713	5598	2242
714	5606	2234
715	5612	2226
716	5618	2217
717	5624	2208
718	5629	2200
719	5636	2191
720	5641	2182
721	5647	2174
722	5654	2166
723	5659	2157
724	5666	2149
725	5672	2140
726	5678	2132
727	5686	2124
728	5693	2116
729	5699	2108
730	5706	2099
731	5718	2093
732	5727	2086
733	5734	2078
734	5741	2069
735	5747	2061
736	5753	2053
737	5759	2044
738	5766	2036
739	5773	2028
740	5779	2020
741	5785	2011
742	5790	2003
743	5797	1994
744	5819	1991
745	5827	1984
746	5834	1976
747	5840	1967
748	5848	1959
749	5855	1951
750	5866	1944
751	5872	1936
752	5879	1928
753	5886	1920
754	5893	1912
755	5899	1904
756	5906	1895
757	5914	1888
758	5921	1880
759	5928	1872
760	5934	1863
761	5941	1855
762	5948	1847
763	5953	1839
764	5960	1830
765	5967	1822
766	5973	1814
767	5982	1807
768	5990	1799
769	5997	1791
770	6007	1784
771	6014	1776
772	6020	1767
773	6028	1760
774	6034	1752
775	6041	1743
776	6047	1735
777	6052	1727
778	6059	1719
779	6065	1710
780	6071	1702
781	6078	1694
782	6084	1686
783	6092	1678
784	6098	1670
785	6107	1662
786	6114	1654
787	6124	1647
788	6130	1639
789	6138	1631
790	6145	1623
791	6152	1615
792	6157	1607
793	6163	1599
794	6170	1591
795	6175	1582
796	6183	1574
797	6188	1566
798	6201	1560
799	6206	1551
800	6211	1543
801	6216	1534
802	6220	1526
803	6225	1517
804	6230	1509
805	6235	1500
806	6240	1492
807	6245	1484
808	6251	1475
809	6255	1467
810	6260	1458
811	6273	1452
812	6279	1444
813	6285	1436
814	6292	1428
815	6300	1420
816	6307	1412
817	6315	1405
818	6321	1397
819	6328	1389
820	6336	1381
821	6343	1373
822	6351	1365
823	6358	1358
824	6366	1350
825	6372	1342
826	6378	1334
827	6386	1326
828	6393	1318
829	6403	1311
830	6412	1304
831	6419	1296
832	6429	1288
833	6435	1280
834	6443	1273
835	6449	1265
836	6456	1257
837	6464	1249
838	6472	1241
839	6479	1234
840	6485	1226
841	6498	1219
842	6510	1212
843	6517	1204
844	6525	1196
845	6531	1189
846	6541	1181
847	6548	1173
848	6555	1165
849	6563	1158
850	6570	1150
851	6578	1142
852	6585	1134
853	6594	1127
854	6604	1120
855	6611	1112
856	6618	1104
857	6628	1096
858	6635	1089
859	6642	1081
860	6649	1073
861	6675	1068
862	6681	1060
863	6691	1053
864	6699	1045
865	6710	1038
866	6721	1031
867	6728	1023
868	6738	1015
869	6746	1008
870	6755	1000
871	6761	992
872	6770	984
873	6778	977
874	6786	969
875	6794	961
876	6804	954
877	6811	946
878	6820	938
879	6827	931
880	6834	923
881	6841	915
882	6849	907
883	6856	899
884	6864	892
885	6872	884
886	6880	876
887	6886	868
888	6892	860
889	6901	852
890	6907	845
891	6915	837
892	6922	829
893	6931	821
894	6953	815
895	6960	807
896	6967	800
897	6975	792
898	6983	784
899	6990	776
900	6999	769
901	7005	761
902	7013	753
903	7018	745
904	7027	737
905	7035	729
906	7041	722
907	7049	714
908	7055	706
909	7060	698
910	7070	690
911	7077	682
912	7086	675
913	7092	667
914	7100	659
915	7105	651
916	7112	643
917	7119	635
918	7126	628
919	7133	620
920	7139	612
921	7145	604
